"","Municipality","Households","Households w/ Trash and Recycling","% of Households Served by Municipality","Trash Tonnage","Recycling Tonnage","Food Waste","Yard Waste","E-Waste","C&D","Trash Service Type","Provide Trash Bins","Recycling Service Type","Recycling Collection Frequency","RecyclingBins","Food Waste Service Type","Municipal Buildings Trash and Recycling Service","School Trash and Recycling Service","Business Trash and Recycling Service","Non-resident Trash and Recycling Service","Property Tax","Annual Fee","Transfer Station Access Fee","Per-Visit Fee","PAYT/SMART","Enforced Mandatory Recycling","Dedicated Mandatory Recycling Enforcement Personnel","Compost Bin Distribution Program","diversion"
"235","Pepperell","4647",1405,0.302345599311384,908.71,603.52,NA,NA,"7.45","279","Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Both",NA,NA,"Yes","Yes","Yes",NA,NA,NA,0.399092730603149
"236","Peru","380",335,0.881578947368421,207.53,64.92,NA,NA,"1.08",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,"Yes",0.238282253624518
"237","Petersham","495",294,0.593939393939394,216.76,129.95,NA,NA,"0.05",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Recycling","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,NA,0.374808918116005
"238","Phillipston","803",392,0.488169364881694,192.63,92.49,NA,NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Both","Neither","Yes","Yes",NA,NA,"Yes",NA,NA,NA,0.324389730639731
"239","Pittsfield","13741",13617,0.990975911505713,17440,1962.92,NA,NA,NA,NA,"Both",NA,"Both","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes",NA,"Yes",0.101166216219002
"240","Plainfield","312",216,0.692307692307692,106.21,51.27,NA,NA,"1.86",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Neither",NA,NA,NA,NA,"Yes","Yes","No","Yes",0.325565151130302
"241","Plainville","4043",2389,0.590897848132575,1569,854.59,NA,"441","5",NA,"Curbside",NA,"Curbside","Weekly","No","None","Both","Both","Neither","Neither","Yes","Yes",NA,NA,"Yes",NA,NA,"Yes",0.35261327204684
"242","Plymouth","32340",4355,0.134662956091528,2519.61,1241.5,NA,"1000","33.700000000000003",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,"Yes",NA,NA,"Yes",0.330088723807599
"244","Princeton","1257",0,0,0,24.4,NA,NA,"4.51",NA,"None",NA,"None",NA,"No","None","Neither","Neither","Neither","Neither",NA,NA,NA,NA,"No",NA,NA,"Yes",1
"245","Provincetown","2556",2556,1,2432,1169.34,NA,"17.28","11",NA,"Both",NA,"Both","Weekly","No","None","Both","Both","Neither","Both","Yes",NA,"Yes","Yes","No","Yes","Yes",NA,0.324695807671589
"246","Quincy","45000",33500,0.744444444444444,32467.65,5664.64,NA,"1182.5999999999999","78.14",NA,"Curbside",NA,"Both","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,"Yes",0.148552316160398
"247","Randolph","12253",9526,0.777442259038603,11105,2537,NA,"1469","19",NA,"Curbside",NA,"Curbside","Bi-weekly","Yes","None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,"No",NA,NA,NA,0.185969799149685
"248","Raynham","4562",1190,0.26085050416484,742.06,415.28,NA,NA,"20.82","360","Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Neither",NA,NA,"Yes",NA,"Yes",NA,NA,NA,0.358822817840911
"249","Reading","8895",8293,0.932321528948848,7585.39,2767.38,NA,"4123.7","38.340000000000003",NA,"Curbside",NA,"Curbside","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes",NA,NA,0.267308169697578
"251","Revere","27269",20452,0.750009167919616,18989.65,3677.92,NA,"760.67","19.809999999999999",NA,"Curbside","Yes","Curbside","Bi-weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes",NA,NA,0.162254710143169
"253","Rochester","1984",1984,1,2313.87,589.43,"0","0","0","0","Both","Yes","Both","Bi-weekly","Yes","None","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"No",NA,NA,"Yes",0.203020700582096
"254","Rockland","5445",5075,0.932047750229568,4554,1373.46,NA,"500","13.4",NA,"Curbside","Yes","Both","Bi-weekly","Yes","None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,"No","Yes",NA,"Yes",0.231711390713729
"255","Rockport","4922",3125,0.634904510361642,2090.93,1024.1,NA,NA,"8.08",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Both","Neither","Yes",NA,NA,NA,"Yes","Yes","No",NA,0.328760878707428
"256","Rowe","216",184,0.851851851851852,127.87,67.25,NA,NA,"1.1000000000000001",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,"Yes",0.344659696596966
"258","Royalston","562",385,0.685053380782918,248.5,217.7,NA,NA,"11.77",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Both","Both","Yes",NA,"Yes",NA,"Yes",NA,NA,"Yes",0.466966966966967
"259","Russell","563",420,0.746003552397869,245.37,84.86,NA,NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither","Yes","Yes",NA,NA,"Yes","Yes",NA,NA,0.256972413166581
"261","Salem","20981",17000,0.810256899099185,12004.11,4076.95,"190.04","585.29","40.26",NA,"Curbside","Yes","Curbside","Bi-weekly","Yes","Drop-off","Both","Both","Both","Neither","Yes","Yes",NA,NA,"Yes","Yes","Yes","Yes",0.25352495420078
"264","Sandwich","8500",5000,0.588235294117647,3219,2391.95,NA,"11253","10.24",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Both","Both",NA,NA,NA,"Yes","Yes",NA,NA,NA,0.426300359119222
"265","Saugus","10662",8758,0.82142187206903,9793.74,2389.11,NA,"248.4","46.3",NA,"Curbside",NA,"Both","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes","Yes",NA,0.196104359817284
"266","Savoy","293",164,0.559726962457338,100.17,33.86,NA,NA,"3.12",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Neither","Yes",NA,"Yes",NA,"Yes","Yes","No","Yes",0.252630008207118
"267","Scituate","7850",5237,0.667133757961783,5497,2625.74,NA,NA,"51","2518","Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither",NA,NA,"Yes",NA,"Yes","Yes","No",NA,0.323257915432477
"268","Seekonk","5306",5146,0.969845457972107,3230.86,1536.08,NA,"135","5.77",NA,"Curbside","Yes","Curbside","Weekly","Yes","None","Both","Neither","Neither","Neither",NA,"Yes",NA,"Yes","Yes","Yes","No",NA,0.322236067582139
"269","Sharon","6686",5376,0.804068202213581,4692.08,2557.64,NA,NA,NA,NA,"Curbside","Yes","Curbside","Weekly","Yes","None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,"Yes",NA,NA,NA,0.352791556087683
"270","Sheffield","1703",849,0.498532002348796,636.68,230.9,NA,NA,"6.66",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither",NA,"Yes",NA,NA,"No",NA,NA,NA,0.266142603563936
"271","Shelburne","607",503,0.828665568369028,257.69,123.42,NA,NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,"Yes",0.323843509747842
"272","Sherborn","1456",1456,1,1598.31,702.35,"38.25",NA,"18.8",NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Recycling","Both","Neither","Yes",NA,NA,NA,"No","Yes","No","Yes",0.305281962567263
"273","Shirley","2500",1654,0.6616,1130.94,353.85,NA,"25","9",NA,"Curbside","Yes","Curbside","Bi-weekly","Yes","None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes","No",NA,0.238316529610248
"274","Shrewsbury","13072",10158,0.777080783353733,6448.68,2895.32,NA,"966.46",NA,NA,"Curbside",NA,"Curbside","Weekly","No","None","Both","Both","Both","Both","Yes",NA,NA,NA,"Yes","Yes","No",NA,0.309858732876712
"275","Shutesbury","814",810,0.995085995085995,353.93,197.02,NA,NA,NA,NA,"Curbside",NA,"Curbside","Weekly","No","None","Both","Both","Both","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,"Yes",0.357600508213086
"276","Somerset","6944",6944,1,4089.74,2479,NA,NA,NA,NA,"Both",NA,"Curbside","Weekly","Yes","None","Both","Both","Both","Neither","Yes",NA,"Yes",NA,"Yes",NA,NA,NA,0.377393533615275
"277","Somerville","28000",26250,0.9375,18846.21,7645.3,NA,NA,"47.62",NA,"Curbside","Yes","Curbside","Weekly","Yes","None","Both","Both","Recycling","Neither","Yes",NA,NA,NA,"No","Yes",NA,"Yes",0.288594345886663
"278","South Hadley","7190",6507,0.905006954102921,2881.91,1786.19,NA,"280.8","18.27","326","Both",NA,"Both","Bi-weekly","No","None","Both","Both","Both","Both",NA,"Yes",NA,NA,"No","Yes","No",NA,0.382637475632484
"279","Southampton","2275",976,0.429010989010989,689.48,374.18,"0","54","9.48","0","Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Both","Neither",NA,"Yes",NA,NA,"Yes","Yes","No",NA,0.351785344941053
"281","Southbridge","7303",6587,0.901958099411201,5136,1266,NA,NA,NA,NA,"Curbside","Yes","Curbside","Bi-weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes",NA,"Yes",0.197750702905342
"282","Southwick","3536",2012,0.569004524886878,2259,1064.25,NA,"180","31",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither","Yes","Yes",NA,NA,"No","Yes","No",NA,0.320243737305349
"283","Spencer","3796",1812,0.477344573234984,1228,521,NA,NA,NA,NA,"Drop-off",NA,"None",NA,"No","Drop-off","Neither","Neither","Neither","Neither",NA,NA,"Yes",NA,"Yes",NA,NA,NA,0.297884505431675
"284","Springfield","61000",40000,0.655737704918033,45840.04,8579.57,NA,"9433.4",NA,NA,"Curbside","Yes","Both","Bi-weekly","Yes","None","Both","Neither","Neither","Neither","Yes","Yes",NA,NA,"No","Yes","Yes",NA,0.157655852366454
"285","Sterling","3400",3200,0.941176470588235,2302.2,955.21,NA,NA,"0.01",NA,"Curbside",NA,"Both","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes",NA,"Yes",0.293242177067056
"287","Stoneham","9500",6700,0.705263157894737,6272.7,2153.65,NA,"1800","13.28",NA,"Curbside",NA,"Curbside","Weekly","No","None","Both","Both","Neither","Neither","Yes","Yes",NA,NA,"No","Yes",NA,NA,0.255585158461255
"290","Sturbridge","3751",1882,0.501732871234338,570,366.22,"0","13.5",NA,"97","Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Neither","Yes",NA,NA,NA,"Yes","Yes","No",NA,0.391168742389609
"291","Sudbury","6588",894,0.135701275045537,679.49,440.2,NA,"1.1299999999999999","2.64",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Neither","Neither","Neither","Neither",NA,"Yes",NA,NA,"Yes",NA,NA,NA,0.393144531075566
"292","Sunderland","896",0,0,0,0,NA,NA,NA,NA,"None",NA,"None",NA,"No","None","Neither","Neither","Neither","Neither",NA,NA,NA,NA,"No",NA,NA,NA,NA
"293","Sutton","3690",1217,0.329810298102981,565,327.73,"1.5","5.72","0.64",NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Neither","Neither","Neither","Neither",NA,"Yes",NA,NA,"No",NA,NA,NA,0.367109876446406
"294","Swampscott","5745",5125,0.892080069625762,4000.73,1931.14,"74.5",NA,NA,NA,"Curbside","Yes","Curbside","Weekly","No","Both","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,NA,0.325553324668275
"295","Swansea","6448",6137,0.951767990074442,3875.8,2211.11,NA,NA,NA,NA,"Curbside",NA,"Curbside","Weekly","Yes","None","Both","Neither","Neither","Neither",NA,"Yes",NA,NA,"Yes",NA,NA,NA,0.363256562032296
"296","Taunton","20408",16709,0.8187475499804,12777.28,4982.43,NA,"2245.2399999999998","83.53",NA,"Both",NA,"Both","Bi-weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes","Yes","Yes",0.280546810730581
"298","Tewksbury","10056",10056,1,10008,2845.38,NA,"654",NA,NA,"Curbside","Yes","Curbside","Bi-weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,"Yes",0.221372121574247
"299","Tisbury","2511",956,0.380724810832338,1278,1604,NA,NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Trash","Neither","Neither","Neither","Yes",NA,"Yes",NA,"No",NA,NA,NA,0.556557945870923
"301","Topsfield","2161",2161,1,1896.06,386.03,"11.25","162",NA,NA,"Curbside",NA,"Curbside","Bi-weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes",NA,NA,NA,0.169156343527205
"302","Townsend","3615",3450,0.954356846473029,2395.91,967.95,NA,"3","11.26",NA,"Curbside",NA,"Both","Weekly","No","None","Both","Neither","Recycling","Recycling","Yes",NA,NA,NA,"No",NA,NA,"Yes",0.287749787446564
"303","Truro","3348",1834,0.54778972520908,1104.99,582.66,"480","54","3.52",NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Both","Both","Both","Yes","Yes",NA,NA,"No","Yes","Yes","Yes",0.34524931117234
"304","Tyngsborough","4387",3791,0.864144062001368,3822,1080.98,NA,NA,NA,NA,"Curbside","Yes","Curbside","Bi-weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes",NA,"Yes",0.220474079029488
"305","Tyringham","277",204,0.736462093862816,160.92,75.06,NA,NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither",NA,NA,"Yes",NA,"No",NA,NA,NA,0.318077803203661
"306","Upton","3100",2384,0.769032258064516,1512.48,906.91,"0","0","56","0","Curbside","Yes","Curbside","Weekly","No","None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,NA,0.374850685503371
"307","Uxbridge","5500",0,0,0,0,NA,NA,NA,NA,"None",NA,"None",NA,"No","None","Neither","Neither","Neither","Neither",NA,NA,NA,NA,"No","Yes","No","Yes",NA
"308","Wakefield","8925",7242,0.811428571428571,7742.86,2150.15,NA,"2000",NA,NA,"Curbside","Yes","Curbside","Bi-weekly","No","None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"No","Yes","Yes","Yes",0.217340324127844
"310","Walpole","8510",7432,0.873325499412456,8298.16,1764.17,NA,NA,NA,NA,"Curbside",NA,"Both","Bi-weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,NA,0.175324204235003
"311","Waltham","23000",19170,0.833478260869565,19036.51,4685.45,NA,NA,NA,NA,"Curbside",NA,"Curbside","Weekly","Yes","None","Both","Both","Recycling","Neither","Yes",NA,NA,NA,"No",NA,NA,NA,0.197515298061374
"313","Wareham","12380",0,0,0,75.3,NA,NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Neither","Neither",NA,NA,NA,NA,"No",NA,NA,NA,1
"314","Warren","2042",599,0.29333986287953,487,256.06,NA,NA,NA,"58","Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Both","Yes",NA,"Yes",NA,"No",NA,NA,NA,0.344602050978387
"315","Warwick","362",300,0.828729281767956,109.63,71.75,NA,NA,"2.5099999999999998",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,"Yes",0.395578343808579
"317","Watertown","13652",10000,0.732493407559332,9388.52,2932.33,NA,"1067","50.04",NA,"Curbside","Yes","Both","Bi-weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes",NA,"Yes",0.237997378427625
"318","Wayland","5885",1845,0.313508920985556,733.39,799.81,NA,"1080","3.38",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Neither","Neither",NA,NA,"Yes","Yes","Yes",NA,NA,"Yes",0.521660579180798
"320","Wellesley","9339",9339,1,5246,2928,"109","613","53","443","Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Recycling","Both","Both","Yes",NA,NA,NA,"No",NA,NA,NA,0.358208955223881
"321","Wellfleet","3669",3309,0.901880621422731,1428,708.18,"4.4000000000000004","1000","33.29","360","Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Both","Both","Both","Yes","Yes",NA,NA,"No","Yes","No","Yes",0.331517006993793
"322","Wendell","376",352,0.936170212765957,211.5,94.18,"3.5",NA,"2.0299999999999998",NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,"Yes",0.308099973828841
"323","Wenham","1419",1345,0.94785059901339,923.3,650.71,"208.2",NA,"9.5500000000000007",NA,"Curbside","Yes","Curbside","Weekly","No","Curbside","Both","Neither","Both","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,NA,0.413409063474819
"324","West Boylston","2903",2488,0.857044436789528,1486.85,717.29,NA,NA,"11.8",NA,"Curbside",NA,"Curbside","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes",NA,NA,"Yes",0.325428511800521
"325","West Bridgewater","3226",1820,0.564166150030998,2437.37,564.07,NA,NA,"19.12",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"No",NA,NA,NA,0.187933125433125
"328","West Springfield","12500",8860,0.7088,7400.46,2150.07,NA,NA,NA,NA,"Curbside","Yes","Curbside","Bi-weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes","Yes",NA,0.225125726006829
"330","West Tisbury","1474",623,0.422659430122117,187,146,"4",NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Both","Neither","Both",NA,NA,NA,NA,"Yes","Yes","No",NA,0.438438438438438
"331","Westborough","5514",4137,0.750272034820457,5191,1448.43,"3.79",NA,"15.48",NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Recycling","Neither","Neither","Neither","Yes",NA,"Yes",NA,"No","Yes",NA,NA,0.21815577542048
"332","Westfield","16143",16143,1,11328.13,3442.91,"0","0","39.75","0","Both","Yes","Both","Bi-weekly","Yes","None","Neither","Neither","Neither","Neither","Yes","Yes","Yes",NA,"No",NA,NA,NA,0.233085144986406
"333","Westford","8018",8018,1,8212,2508.24,NA,NA,"39.01",NA,"Curbside",NA,"Curbside","Bi-weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes",NA,"Yes",0.233972373752826
"334","Westhampton","692",387,0.559248554913295,275.24,146.19,NA,NA,"3.76",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Neither",NA,"Yes",NA,NA,"Yes","Yes","No","Yes",0.346890349524239
"335","Westminster","2987",2844,0.952125878808169,2795.72,709.66,NA,NA,"9.25","295","None",NA,"Both","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,NA,0.20244880726198
"336","Weston","3600",1675,0.465277777777778,1455.9,955.78,"3.27","691.14","28.19","0","Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Recycling","Neither","Neither","Yes","Yes",NA,NA,"No",NA,NA,NA,0.396312943674119
"337","Westport","7019",1950,0.277817352899273,920.33,501.88,NA,"20","1.92","108","Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Both","Yes",NA,NA,NA,"No","Yes",NA,NA,0.352887407626159
"339","Weymouth","20562",17612,0.856531465810719,17175.31,5574,NA,"5326","91",NA,"Both","Yes","Both","Weekly","Yes","None","Both","Both","Recycling","Neither",NA,"Yes",NA,NA,"No",NA,NA,NA,0.245018420338903
"340","Whately","602",460,0.764119601328904,161.2,100.79,"42",NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,"Yes",0.384709340051147
"341","Whitman","5238",4639,0.885643375334097,3755.09,1447.85,NA,"1200",NA,NA,"Curbside","Yes","Curbside","Weekly","Yes","None","Both","Neither","Neither","Neither",NA,"Yes",NA,NA,"No","Yes","No","Yes",0.278275359700477
"342","Wilbraham","5729",1655,0.28888113108745,663,1003.75,NA,"351","4.5",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Both",NA,NA,"Yes",NA,"Yes",NA,NA,NA,0.60221988900555
"343","Williamsburg","1137",866,0.761653474054529,571.35,258.28,NA,NA,"8.42",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Neither",NA,"Yes",NA,NA,"No","Yes","No","Yes",0.311319503875221
"344","Williamstown","2252",1133,0.503108348134991,434.27,150074.03,NA,"10.8","12.25",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Recycling","Neither","Yes",NA,"Yes","Yes","Yes","Yes",NA,"Yes",0.99711464417577
"345","Wilmington","7378",7378,1,7385,2692.3,NA,"826","32.799999999999997",NA,"Curbside","Yes","Curbside","Bi-weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes","No","Yes",0.267164815972532
"346","Winchendon","4435",934,0.210597519729425,614.2,291.05,NA,NA,"5.99","271","Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Both",NA,"Yes",NA,NA,"Yes",NA,NA,NA,0.32151339409003
"347","Winchester","7869",5082,0.645825390773923,5867,2505.9,"17","140.4","43",NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Both","Both","Neither",NA,NA,"Yes",NA,"No",NA,NA,"Yes",0.299286985393352
"348","Windsor","400",392,0.98,172.69,76.71,NA,NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Neither","Yes",NA,"Yes",NA,"Yes","Yes","No","Yes",0.307578187650361
"350","Woburn","12076",11378,0.942199403776085,14341.73,2238.7,NA,NA,NA,NA,"Curbside",NA,"Curbside","Bi-weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,NA,0.135020623711207
"351","Worcester","67000",53000,0.791044776119403,25321,11327.72,NA,"5322.51","54.14",NA,"Curbside",NA,"Both","Weekly","No","None","Both","Neither","Recycling","Neither","Yes",NA,NA,NA,"Yes","Yes","Yes","Yes",0.309089103248354
"352","Worthington","532",383,0.719924812030075,274.82,120.53,NA,NA,"2.44",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Neither",NA,"Yes",NA,NA,"Yes","Yes","No","Yes",0.304869103326167
"353","Wrentham","4300",4081,0.94906976744186,3133.05,1475.8,NA,"81",NA,NA,"Curbside","Yes","Curbside","Bi-weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,NA,0.320210030701802
"354","Yarmouth","15388",9495,0.6170392513647,9301,1850.47,"0","162","66","13573","Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Trash",NA,NA,"Yes","Yes","No",NA,NA,NA,0.165939557744405
