"","Municipality","Households","Households w/ Trash and Recycling","% of Households Served by Municipality","Trash Tonnage","Recycling Tonnage","Food Waste","Yard Waste","Trash Service Type","Provide Trash Bins","Recycling Service Type","RecyclingBins","Food Waste Service Type","Municipal Buildings Trash and Recycling Service","School Trash and Recycling Service","Business Trash and Recycling Service","Non-resident Trash and Recycling Service","Property Tax","Annual Fee","Transfer Station Access Fee","Per-Visit Fee","PAYT/SMART","Enforced Mandatory Recycling","Dedicated Mandatory Recycling Enforcement Personnel","Private Hauler regulations that require recycling","Swap-Shop","Compost Bin Distribution Program"
"3","Abington","6669",5222,0.783025940920678,4151.18,1617.1,NA,"35.1","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes","Yes",NA,NA,"Yes"
"4","Acton","9823",3815,0.388374223760562,2246.25,3191.95,"77.2","300","Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Neither","Neither","Both",NA,NA,"Yes","Yes","Yes","Yes","No",NA,"Yes","Yes"
"5","Acushnet","3799",3799,1,3726.67,1067.62,NA,"0","Curbside","Yes","Both","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,"Yes","Yes",NA
"6","Adams","3867",601,0.155417636410654,160.16,12434.84,NA,"10.8","Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Both","Neither","Yes",NA,"Yes",NA,"Yes","Yes","No","Yes",NA,"Yes"
"7","Agawam","13031",8894,0.68252628347786,7259.81,2426.9,NA,"2233","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,"Yes"
"9","Amesbury","5846",5646,0.96578857338351,5355.95,1808.55,NA,NA,"Curbside",NA,"Curbside","Yes","None","Both","Both","Both","Neither","Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,NA
"10","Amherst","9162",2340,0.255402750491159,1212.19,495.21,"23","143","Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Both","Both","Both",NA,NA,"Yes",NA,"Yes","Yes",NA,"Yes","Yes","Yes"
"11","Andover","10900",9004,0.82605504587156,10700,3367.25,"137","830","Curbside",NA,"Curbside",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Aquinnah","345",230,0.666666666666667,96,57,"0.23",NA,"Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Both","Both","Both","Yes",NA,NA,NA,"Yes","Yes","No",NA,NA,"Yes"
"13","Arlington","20311",20311,1,12510,5400.27,"70.3","3620","Curbside",NA,"Curbside",NA,"Drop-off","Both","Both","Both","Neither","Yes",NA,NA,NA,NA,"Yes","No",NA,NA,"Yes"
"15","Ashby","1145",230,0.200873362445415,109.48,92.76,NA,"1.1299999999999999","Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Both","Neither",NA,NA,NA,NA,"Yes",NA,NA,"Yes","Yes","Yes"
"16","Ashfield","717",462,0.644351464435146,377.14,209.76,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Recycling","Both","Both",NA,"Yes",NA,NA,NA,"Yes","No",NA,NA,"Yes"
"17","Ashland","6320",5950,0.941455696202532,3153.12,1997.21,NA,"360.51","Curbside",NA,"Curbside","Yes","None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,"Yes",NA,NA,NA,NA,NA
"18","Athol","4696",1108,0.235945485519591,503.4,577.43,NA,"1.19","Drop-off",NA,"Drop-off",NA,"None","Recycling","Neither","Both","Both",NA,NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA
"19","Attleboro","15007",14378,0.958086226427667,10418.85,4520.33,NA,"1420","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,NA,"Yes","Yes","Yes",NA,"Yes"
"20","Auburn","7542",5157,0.683770883054893,4554,1633,NA,NA,"Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,NA,"Yes","Yes",NA,NA,"Yes"
"22","Ayer","3282",1290,0.393053016453382,738.5,571.77,"12.38","75","Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Neither","Neither","Neither","Yes",NA,"Yes","Yes","Yes",NA,NA,"Yes","Yes","Yes"
"23","Barnstable","25517",9053,0.354783085785947,9657,6691.95,"15.36","405","Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Neither","Neither","Neither",NA,"Yes",NA,"Yes",NA,NA,NA,NA,"Yes",NA
"24","Barre","2477",900,0.363342753330642,752.14,344.78,NA,NA,"Drop-off",NA,"Drop-off",NA,"Drop-off","Recycling","Neither","Both","Neither",NA,NA,NA,NA,"Yes",NA,NA,NA,"Yes","Yes"
"25","Becket","1941",1941,1,601.82,431.31,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Both","Both","Yes",NA,"Yes",NA,"Yes",NA,NA,NA,NA,NA
"26","Bedford","5033",4443,0.882773693622094,3911.75,1725.33,"60","520.11","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,"Yes"
"27","Belchertown","7451",1847,0.247886189773185,1541,1315.4,NA,"726","Drop-off",NA,"Drop-off",NA,"None","Recycling","Neither","Neither","Neither",NA,"Yes","Yes","Yes","Yes","Yes","Yes",NA,"Yes",NA
"29","Belmont","9810",9810,1,6416,3026.78,NA,"160.15","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes","No",NA,NA,"Yes"
"30","Berkley","2870",1155,0.402439024390244,704.32,476.97,NA,NA,"Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Neither","Neither","Neither","Yes","Yes",NA,NA,NA,"Yes","No",NA,NA,NA
"31","Berlin","1470",720,0.489795918367347,659,237,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Trash","Neither","Neither","Neither","Yes","Yes",NA,NA,NA,"Yes","No",NA,"Yes","Yes"
"32","Bernardston","801",650,0.811485642946317,417.22,216.91,"52",NA,"Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Neither","Neither","Both","Yes",NA,NA,NA,"Yes","Yes",NA,NA,NA,"Yes"
"33","Beverly","14000",12625,0.901785714285714,12612.2,3216.55,"347.73","1000","Curbside","Yes","Curbside",NA,"None","Both","Both","Both","Neither","Yes","Yes",NA,NA,"Yes","Yes",NA,NA,NA,NA
"34","Billerica","15243",13603,0.892409630650134,13363,4735,NA,"955","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes","No",NA,NA,"Yes"
"35","Blackstone","3573",3573,1,2438.24,260.3,NA,"54","Curbside",NA,"Both",NA,"None","Both","Both","Neither","Recycling","Yes",NA,NA,NA,NA,"Yes","Yes",NA,NA,NA
"37","Bolton","2146",2146,1,700.27,576.03,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Both","Both","Neither","Yes",NA,NA,NA,"Yes",NA,NA,NA,NA,NA
"38","Boston","322000",272500,0.846273291925466,199250,45208,NA,"1150.79","Curbside",NA,"Curbside","Yes","Drop-off","Recycling","Recycling","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,"Yes",NA,NA
"39","Bourne","8149",8149,1,7348.34,8860.54,NA,"3667.4","Both","Yes","Both","Yes","None","Both","Both","Recycling","Both",NA,NA,"Yes",NA,NA,"Yes","No",NA,"Yes","Yes"
"40","Boxborough","2020",933,0.461881188118812,733.9,604.02,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,NA,NA,NA,NA,NA,NA
"41","Boxford","2760",2597,0.940942028985507,2008,1282,NA,NA,"Curbside",NA,"Both",NA,"None","Both","Both","Recycling","Recycling","Yes",NA,NA,NA,"Yes","Yes",NA,NA,NA,NA
"43","Braintree","12300",10373,0.843333333333333,12435.67,3336.45,NA,"4400","Both","Yes","Both","Yes","None","Both","Both","Neither","Neither","Yes","Yes",NA,NA,NA,"Yes",NA,"Yes",NA,"Yes"
"44","Brewster","7133",3729,0.522781438384971,1576,1298.96,"4.71","270","Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Neither","Neither","Both","Yes","Yes",NA,"Yes","Yes",NA,NA,NA,"Yes","Yes"
"47","Brockton","28225",26368,0.934207263064659,27962,8817.73,"0","5812","Curbside","Yes","Both","Yes","None","Both","Recycling","Neither","Neither",NA,"Yes",NA,NA,"Yes",NA,NA,NA,"Yes","Yes"
"48","Brookfield","949",600,0.632244467860906,530.99,154,NA,NA,"Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Neither","Neither","Neither","Yes","Yes","Yes","Yes",NA,"Yes",NA,NA,"Yes",NA
"49","Brookline","24436",14547,0.595310198068424,8584,4912.81,"259.49","3293.33","Curbside","Yes","Curbside","Yes","None","Both","Both","Both","Neither",NA,NA,NA,NA,"Yes","Yes","Yes","Yes",NA,"Yes"
"50","Buckland","682",620,0.909090909090909,243.04,151.5,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,NA,NA,"Yes"
"51","Burlington","7250",7055,0.973103448275862,5756.29,2285.93,NA,NA,"Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes","No",NA,NA,"Yes"
"52","Cambridge","50000",32500,0.65,15071,9132.26,"380.71","2014","Curbside",NA,"Curbside","Yes","Curbside","Both","Both","Recycling","Neither","Yes",NA,NA,NA,NA,"Yes","Yes","Yes",NA,NA
"53","Canton","7477",7459,0.997592617359904,7095.4,1939,NA,NA,"Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,"Yes",NA
"54","Carlisle","1800",1600,0.888888888888889,1934.11,976.99,"0","0","Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Both","Both","Neither","Yes",NA,"Yes",NA,NA,"Yes","No",NA,"Yes","Yes"
"56","Charlemont","473",440,0.930232558139535,171.15,77.68,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,NA,"Yes","Yes"
"57","Charlton","4964",0,0,295,65.18,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Chatham","5873",3160,0.53805550825813,4687,2729.71,NA,NA,"Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Both","Both","Both","Yes","Yes",NA,"Yes",NA,"Yes","No","Yes",NA,"Yes"
"59","Chelmsford","13564",12697,0.936080802123267,11160.04,3488.7,NA,NA,"Curbside",NA,"Curbside",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes",NA,NA,NA,NA,"Yes"
"61","Cheshire","1358",835,0.614874815905744,639.24,168.95,NA,"10.8","Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,NA,NA,"Yes"
"62","Chester","699",240,0.343347639484979,206.27,94.32,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Both","Neither",NA,"Yes",NA,NA,"Yes","Yes","Yes",NA,NA,NA
"63","Chesterfield","555",226,0.407207207207207,158.94,64.83,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Both","Neither",NA,"Yes",NA,NA,"Yes","Yes","No",NA,NA,"Yes"
"64","Chicopee","24300",18902,0.777860082304527,11856.73,4943.51,NA,"6051.7","Curbside","Yes","Both","Yes","None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes","Yes","Yes",NA,NA
"65","Chilmark","886",300,0.338600451467269,83,57,"1",NA,"Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Both","Neither","Both",NA,NA,NA,NA,"Yes","Yes","No",NA,NA,NA
"66","Clarksburg","720",0,0,2.65,5.15,NA,NA,"None",NA,"None",NA,"None","Neither","Neither","Neither","Neither",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes"
"67","Clinton","4512",4256,0.943262411347518,2442.04,1122.23,NA,"27","Curbside",NA,"Both","Yes","None","Both","Both","Recycling","Recycling","Yes","Yes",NA,NA,"Yes","Yes","No","Yes","Yes",NA
"68","Cohasset","3433",3157,0.919603845033498,1438.81,1033.63,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Recycling","Both","Neither","Yes","Yes",NA,NA,"Yes","Yes",NA,"Yes","Yes","Yes"
"69","Colrain","675",645,0.955555555555556,285.29,154.66,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,NA,NA,"Yes"
"70","Concord","5500",3504,0.637090909090909,2642.74,1875.25,NA,"3365.4","Curbside",NA,"Curbside",NA,"None","Both","Both","Recycling","Neither",NA,"Yes",NA,NA,"Yes",NA,NA,NA,NA,"Yes"
"71","Conway","669",648,0.968609865470852,550.09,267.91,"42",NA,"Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,NA,"Yes",NA,NA,"Yes","Yes"
"72","Cummington","426",295,0.692488262910798,190.27,86.98,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Both","Neither",NA,"Yes",NA,NA,"Yes","Yes","No","Yes","Yes","Yes"
"73","Dalton","2552",665,0.260579937304075,440,243.85,NA,"0","Drop-off",NA,"Drop-off",NA,"None","Both","Both","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,"Yes",NA,NA
"74","Danvers","15672",7738,0.493746809596733,6749.4,2645.33,NA,NA,"Both",NA,"Both",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,"Yes"
"75","Dartmouth","11563",10125,0.875637810256854,5986.79,3900.44,NA,"1324.34","Both",NA,"Both","Yes","None","Recycling","Recycling","Recycling","Neither",NA,"Yes","Yes","Yes","Yes","Yes","No","Yes",NA,"Yes"
"76","Dedham","8700",8700,1,6840.28,2765.51,NA,NA,"Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Deerfield","1762",1294,0.734392735527809,620.3,356.1,"83","50","Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,NA,"Yes","Yes"
"78","Dennis","14347",7004,0.488185683418136,4253,3209,"10","2907","Drop-off",NA,"Drop-off",NA,"Drop-off","Recycling","Neither","Recycling","Both",NA,"Yes",NA,"Yes",NA,NA,NA,NA,NA,"Yes"
"79","Devens","171",0,0,43.93,89.97,NA,"16.88","None",NA,"Drop-off",NA,"None","Both","Both","Recycling","Recycling","Yes",NA,NA,NA,NA,"Yes",NA,"Yes",NA,"Yes"
"80","Dighton","2885",2785,0.965337954939341,2050.45,1077.74,NA,"5.4","Curbside",NA,"Curbside",NA,"None","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"Yes",NA,NA,NA,NA,NA
"81","Douglas","3173",1320,0.416010085092972,1313,370.62,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Neither","Neither",NA,NA,"Yes",NA,NA,NA,NA,"Yes",NA,"Yes"
"82","Dover","2150",2150,1,1304.5,737.4,"39.700000000000003",NA,"Drop-off",NA,"Drop-off",NA,"Drop-off","Neither","Neither","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,"Yes","Yes"
"83","Dracut","12213",10619,0.869483337427332,10522,3188.11,NA,"1010","Curbside","Yes","Both","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Yes"
"84","Dudley","3659",790,0.215905985241869,662,170,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Both","Neither","Neither",NA,"Yes","Yes",NA,NA,NA,NA,NA,"Yes",NA
"85","Dunstable","1124",313,0.27846975088968,163.66,117.63,NA,NA,"Curbside","Yes","Curbside","Yes","None","Both","Neither","Neither","Neither","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA
"86","Duxbury","6632",5998,0.904402895054282,2707,3030.39,NA,"3000","Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Both","Neither","Yes","Yes",NA,NA,"Yes","Yes","No",NA,NA,NA
"87","East Bridgewater","4300",2800,0.651162790697674,3024,1707.9,NA,"307.8","Both","Yes","Both","Yes","None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,"Yes",NA,NA,"Yes",NA,"Yes"
"88","East Brookfield","974",940,0.965092402464066,645.68,106.22,NA,NA,"Curbside",NA,"Curbside",NA,"None","Both","Both","Both","Neither",NA,"Yes",NA,NA,"Yes",NA,NA,NA,NA,NA
"89","East Longmeadow","5680",5680,1,4471.35,234309.97,NA,"4644.49","Curbside","Yes","Curbside",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes","Yes",NA,NA,"Yes"
"90","Eastham","5676",3776,0.665257223396758,4164.18,1620.26,NA,"391.74","Drop-off",NA,"Drop-off",NA,"None","Both","Both","Both","Both","Yes","Yes",NA,"Yes",NA,NA,NA,NA,"Yes","Yes"
"93","Edgartown","3508",1754,0.5,955,1050,"6","200","Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Both","Neither","Both",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA
"94","Egremont","875",875,1,511,411.34,"0.5","0.18","Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Neither","Both","Neither","Yes",NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes"
"95","Erving","586",586,1,446.71,112.98,NA,NA,"Curbside",NA,"Curbside",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,"Yes"
"97","Everett","15591",15000,0.962093515489706,16492.1,3003.79,NA,NA,"Curbside","Yes","Curbside","Yes","None","Both","Both","Both","Neither","Yes",NA,NA,NA,NA,"Yes","Yes",NA,NA,NA
"98","Fairhaven","6721",6513,0.969052224371373,5604,1650.19,NA,"525","Curbside","Yes","Both","Yes","None","Both","Both","Neither","Neither","Yes",NA,"Yes",NA,NA,NA,NA,NA,NA,NA
"99","Fall River","36724",31352,0.853719638383618,29133.35,9977.49,NA,"3969","Both","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Yes"
"100","Falmouth","21000",21000,1,13031.79,3535.85,NA,NA,"Both",NA,"Curbside",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,"Yes",NA
"101","Fitchburg","17012",13500,0.793557488831413,13510.02,3368.86,NA,"460.36","Both","Yes","Both","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes","Yes","Yes","Yes",NA
"102","Florida","350",191,0.545714285714286,345.45,61.67,NA,"9.4499999999999993","Drop-off",NA,"Drop-off",NA,"None","Both","Both","Both","Neither","Yes",NA,"Yes",NA,NA,"Yes",NA,NA,NA,"Yes"
"104","Framingham","26194",18355,0.70073299228831,19047,6751.52,NA,"183.98","Both","Yes","Both","Yes","None","Both","Both","Recycling","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Yes"
"105","Franklin","10010",9405,0.93956043956044,7867.28,4284.67,NA,"243","Curbside","Yes","Both","Yes","None","Both","Both","Both","Neither",NA,"Yes",NA,NA,NA,"Yes","No","Yes",NA,NA
"106","Freetown","4261",2349,0.551279042478292,1879.46,724.89,NA,NA,"Curbside",NA,"Curbside",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes",NA,NA,NA,"Yes",NA
"107","Gardner","8228",6617,0.804205153135634,4946.13,1515.33,NA,NA,"Both","Yes","Both","Yes","None","Both","Both","Recycling","Neither",NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,"Yes"
"109","Gill","513",513,1,196.72,121.69,NA,NA,"Curbside",NA,"Curbside",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,NA,NA,"Yes"
"110","Gloucester","13825",12850,0.929475587703436,7112.63,3461.06,"135.19999999999999","600","Curbside",NA,"Curbside",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes","No",NA,NA,NA
